track_id,artist_name,title,loudness,tempo,time_signature,key,mode,duration,song_hotttnesss,year
TRAAAAW128F429D538,Casual,I Didn't Mean To,-11.196999999999999,92.197999999999993,4,1,0,218.93179000000001,0.60211998990575477,0
TRAAABD128F429CF47,The Box Tops,Soul Deep,-9.843,121.274,4,6,0,148.03546,nan,1969
TRAAADZ128F9348C2E,Sonora Santanera,Amor De Cabaret,-9.6890000000000001,100.06999999999999,1,8,1,177.47546,nan,0
TRAAAEF128F4273421,Adam Ant,Something Girls,-9.0129999999999999,119.29300000000001,4,0,1,233.40362999999999,nan,1982
TRAAAFD128F92F423A,Gob,Face the Ashes,-4.5010000000000003,129.738,4,2,1,209.60607999999999,0.6045007385888197,2007
TRAAAMO128F1481E7F,Jeff And Sheri Easter,The Moon And I (Ordinary Day Album Version),-9.3230000000000004,147.78200000000001,3,5,1,267.70240000000001,nan,0
TRAAAMQ128F1460CD3,Rated R,Keepin It Real (Skit),-17.302,111.78700000000001,1,1,1,114.78158999999999,nan,0
TRAAAPK128E0786D96,Tweeterfriendly Music,Drop of Rain,-11.641999999999999,101.43000000000001,3,4,0,189.57015999999999,nan,0
TRAAARJ128F9320760,Planet P Project,Pink World,-13.496,86.643000000000001,4,4,1,269.81832000000003,0.26586104921065007,1984
TRAAAVG12903CFA543,Clp,Insatiable (Instrumental Version),-6.6970000000000001,114.041,4,7,0,266.39627999999999,nan,0
TRAAAVO128F93133D4,JennyAnyKind,Young Boy Blues,-10.021000000000001,146.76499999999999,1,5,0,218.77506,0.0,0
TRAABCL128F4286650,Wayne Watson,The Urgency (LP Version),-7.5449999999999999,117.97499999999999,4,7,1,245.21098000000001,0.26586104921065007,0
TRAABDL12903CAABBA,Andy Andy,La Culpa,-6.6319999999999997,130.03999999999999,4,9,1,226.35057,0.0,0
TRAABJL12903CDCF1A,Bob Azzam,Auguri Cha Cha,-7.75,137.334,1,10,0,191.84280999999999,0.0,0
TRAABJV128F1460C49,Lionel Richie,Tonight Will Be Alright,-8.3460000000000001,125.197,3,3,1,307.38240000000002,nan,1986
TRAABLR128F423B7E3,Blue Rodeo,Floating,-8.5760000000000005,119.82599999999999,4,7,1,491.12770999999998,0.40511572169138649,1987
TRAABNV128F425CEE1,Richard Souther,High Tide,-16.109999999999999,127.756,5,8,1,228.59710000000001,0.33470654906922059,0
TRAABRB128F9306DD5,Faiz Ali Faiz,Sohna Nee Sohna Data,-8.032,99.272999999999996,4,6,1,599.24852999999996,nan,0
TRAABVM128F92CA9DC,Tesla,Caught In A Dream,-5.2709999999999999,150.06200000000001,4,7,1,290.29831999999999,0.68413619122949032,2004
TRAABXG128F9318EBD,lextrical,Synthetic Dream,-6.7869999999999999,138.33099999999999,4,7,1,165.69424000000001,0.0,0
